question id,hits
8286,6
24685,6
11144,6
14099,5
21219,5
34606,5
16483,5
22444,5
11949,5
26144,4
11986,4
17990,4
30224,4
35011,4
18556,4
718,4
8842,4
25625,4
33374,4
25414,4
33903,3
27469,3
12743,3
2751,3
9686,3
20206,3
20562,3
30647,3
24260,3
29712,3
15900,3
29486,3
21894,3
25244,3
33132,3
23634,3
31666,3
21871,3
20991,3
16881,3
15505,3
8042,3
30153,2
25146,2
10271,2
24450,2
9183,2
3939,2
25294,2
24302,2
30452,2
26378,2
3720,2
19858,2
31417,2
30141,2
21227,2
21176,2
14971,2
10888,2
298,2
18354,2
18019,2
34851,2
18128,2
8664,2
8088,2
20554,2
20892,2
24051,2
30609,2
15516,2
11515,2
34789,2
10772,2
14921,2
21100,2
10089,2
21805,2
20756,2
11247,2
35244,2
20090,2
20977,2
30443,2
15582,2
25735,2
22800,2
8189,2
10963,2
32837,2
24547,2
4672,2
10783,2
25995,2
17540,2
13932,2
8534,2
29484,2
5646,2
7980,2
16614,2
19894,2
4934,2
14059,2
20782,2
9125,2
29936,2
27244,2
22540,2
22417,2
26839,2
17661,2
26850,2
31686,2
11635,2
10548,2
32729,2
30798,2
28153,2
30719,2
2507,2
23918,2
15488,2
19862,2
14704,2
27282,2
25694,2
35256,2
23479,2
8853,2
16602,2
16054,2
10494,2
12863,2
27352,2
31592,2
9394,2
33518,2
21035,2
35024,2
31570,2
26540,2
6776,2
24259,2
26361,2
33651,2
26929,2
30766,2
24326,2
34730,2
12372,2
33297,2
11560,2
15380,2
28439,1
27009,1
4004,1
20256,1
15707,1
28162,1
26748,1
22698,1
25728,1
1117,1
16021,1
10376,1
23315,1
11868,1
803,1
32776,1
25645,1
25567,1
23488,1
22367,1
20576,1
34577,1
9845,1
33210,1
27518,1
12679,1
22238,1
261,1
6473,1
1655,1
16555,1
3988,1
11312,1
35172,1
24845,1
22712,1
22434,1
5681,1
30538,1
30037,1
20827,1
8410,1
8945,1
34835,1
33945,1
26409,1
24311,1
18370,1
27062,1
15286,1
17268,1
14229,1
12536,1
26773,1
26717,1
30906,1
10072,1
641,1
24097,1
18638,1
17087,1
17046,1
12739,1
3693,1
34246,1
31274,1
30245,1
22946,1
18649,1
18041,1
16623,1
34169,1
18451,1
16383,1
15614,1
9692,1
4550,1
4643,1
15227,1
17588,1
1935,1
35201,1
35089,1
23996,1
28035,1
33187,1
30019,1
24475,1
17804,1
16858,1
8593,1
34667,1
25837,1
12456,1
22124,1
2331,1
24537,1
22024,1
9359,1
5944,1
34859,1
33424,1
25786,1
23855,1
30408,1
666,1
5758,1
17652,1
3045,1
34426,1
34070,1
20729,1
18124,1
13964,1
9419,1
35276,1
31466,1
20648,1
17504,1
25789,1
15031,1
27081,1
32989,1
25937,1
23758,1
20704,1
18155,1
2524,1
5369,1
4452,1
31600,1
31243,1
22164,1
22132,1
12264,1
33103,1
26687,1
24527,1
12836,1
12595,1
34869,1
33707,1
30883,1
26980,1
26829,1
25289,1
20443,1
1063,1
33341,1
22168,1
16168,1
3672,1
11597,1
9554,1
8111,1
6613,1
5791,1
3317,1
35187,1
33925,1
8185,1
29613,1
27395,1
24857,1
24726,1
31625,1
18282,1
22774,1
20875,1
18484,1
12207,1
22234,1
31614,1
32842,1
17169,1
17417,1
17213,1
1358,1
27659,1
23938,1
17557,1
16529,1
14409,1
33696,1
30942,1
33259,1
30563,1
24433,1
6080,1
19797,1
26776,1
17855,1
15359,1
6652,1
3256,1
25071,1
4576,1
22476,1
14460,1
11202,1
34040,1
31522,1
28429,1
17178,1
33051,1
25746,1
22979,1
23362,1
23086,1
31540,1
26589,1
24989,1
21611,1
17961,1
17774,1
