question id,LINKED BS hits,LINKED FS hits,RELATED BS hits,RELATED FS hits
26011,3,1,0,0
16372,2,0,1,1
17701,2,0,0,2
26203,1,0,1,1
8410,1,1,1,2
17952,1,0,0,1
9099,1,0,1,1
1539,1,0,1,1
15707,1,0,1,1
5757,1,0,1,0
6531,1,1,0,0
2302,1,0,0,1
34768,0,1,0,2
11144,0,0,6,2
9631,0,0,3,1
15505,0,0,3,1
8664,0,0,2,1
6698,0,0,2,1
15516,0,0,2,1
4672,0,0,2,2
5646,0,0,2,2
4934,0,0,2,1
32729,0,0,2,2
7954,0,0,2,3
20576,0,0,1,1
9845,0,0,1,1
6473,0,0,1,1
30037,0,0,1,1
24311,0,0,1,1
15286,0,0,1,1
641,0,0,1,1
1935,0,0,1,2
8111,0,0,1,2
29613,0,0,1,1
19797,0,0,1,1
3256,0,0,1,1
4320,0,0,1,2
24701,0,0,1,1
17449,0,0,1,1
4378,0,0,1,2
4232,0,0,1,1
3475,0,0,1,1
11934,0,0,1,1
28145,0,0,1,1
15299,0,0,1,1
1885,0,0,1,2
6100,0,0,1,1
6347,0,0,1,2
1426,0,0,1,2
8388,0,0,1,1
4109,0,0,1,2
5435,0,0,1,1
1326,0,0,1,1
