question id,hits
7954,3
17514,3
677,2
807,2
1152,2
1451,2
1426,2
1885,2
1935,2
1973,2
4109,2
4320,2
4378,2
4672,2
4873,2
5342,2
5646,2
6347,2
8111,2
8410,2
8417,2
8809,2
11144,2
17701,2
25951,2
27404,2
29752,2
32729,2
34768,2
25,1
233,1
284,1
323,1
330,1
343,1
353,1
401,1
534,1
561,1
611,1
641,1
799,1
814,1
826,1
860,1
947,1
1164,1
1326,1
1376,1
1399,1
1429,1
1430,1
1431,1
1539,1
1772,1
1996,1
2168,1
2302,1
2410,1
2421,1
2499,1
2570,1
2780,1
3011,1
3017,1
3078,1
3097,1
3219,1
3235,1
3256,1
3475,1
3990,1
4232,1
4241,1
4707,1
4934,1
5219,1
5258,1
5399,1
5435,1
5439,1
5453,1
5475,1
5566,1
5663,1
8089,1
6100,1
6141,1
6249,1
6432,1
6473,1
6622,1
6653,1
6698,1
6795,1
6808,1
8015,1
8076,1
8388,1
8473,1
8507,1
8664,1
8711,1
8775,1
8892,1
8982,1
9043,1
9099,1
9114,1
9631,1
9845,1
9909,1
10069,1
10395,1
10442,1
10879,1
11363,1
11624,1
11934,1
12287,1
12483,1
14439,1
14712,1
15286,1
15299,1
15396,1
15431,1
15436,1
15505,1
15516,1
15707,1
15803,1
15827,1
15843,1
16087,1
16372,1
16715,1
17227,1
17449,1
17952,1
17593,1
19797,1
19931,1
20576,1
21477,1
24311,1
24695,1
24701,1
25607,1
26203,1
26291,1
27208,1
28145,1
29505,1
29613,1
29660,1
30037,1
30502,1
30511,1
30695,1
31530,1
31640,1
32809,1
33477,1
33522,1
33711,1
34676,1
